LineID,LineName,LineNoTemp,LineNo
11110360,350번(송파공영차고지~노들역),350번,350
11110419,3322번(송파차고지~잠실종합운동장),3322번,3322
11110327,7730번(은평공영차고지~이북오도청),7730번,7730
11110897,0017번(청암동~이촌동),0017번,17
41110071,7017번(은평공영차고지~롯데백화점),7017번,7017
41110072,7021번(은평공영차고지~롯데백화점),7021번,7021
11110001,100번(하계동~용산구청),100번,100
11110028,172번(하계동~월드컵2.3단지),172번,172
11110115,1017번(월계동~상왕십리),1017번,1017
11110126,1120번(덕성여대~하계동),1120번,1120
11110151,1144번(하계동~삼양사거리),1144번,1144
11110155,1154번(하계동~장암동),1154번,1154
11110982,1227번(하계동~제기동),1227번,1227
11110016,145번(번동~강남역),145번,145
11110117,1111번(번동~성북동),1111번,1111
11110131,1124번(수유역~미아삼거리역),1124번,1124
11110163,1218번(수유역~답십리),1218번,1218
11110942,148번(번동~방배동),148번,148
41110007,504번(광명공영차고지~남대문),504번,504
41110048,5535번(하안동~노량진),5535번,5535
41110049,5536번(하안동~노량진),5536번,5536
41110062,6635번(광명공영차고지~구로디지탈단지역),6635번,6635
11110304,7019번(은평공영차고지~시청(서소문)),7019번,7019
11110308,7611번(은평차고지~여의도),7611번,7611
11110309,7612번(홍은동~영등포),7612번,7612
11110315,7713번(홍연2교~홍연2교),7713번,7713
11110316,7714번(은평차고지~녹번역),7714번,7714
11110006,105번(상계동~서울역),105번,105
11110078,1139번(상계동~방학3동주민센터),1139번,1139
11110145,1138번(상계동~수유역),1138번,1138
